species1,species2,property,cosine_similarity
hsapiens,scerevisiae,Stretch,0.14314652685891371
pfalciparum,scerevisiae,Stretch,0.49427422484324807
athaliana,celegans,Tilt,0.5226976823224173
athaliana,dmelanogaster,Tilt,0.48689587547327323
athaliana,hsapiens,Tilt,0.577135693280717
athaliana,pfalciparum,Tilt,-0.13441336256199787
athaliana,scerevisiae,Tilt,0.33951490030056125
celegans,dmelanogaster,Tilt,0.7404242930286384
celegans,hsapiens,Tilt,0.8002616583012819
celegans,pfalciparum,Tilt,0.07375280362246359
celegans,scerevisiae,Tilt,0.06939847414582966
dmelanogaster,hsapiens,Tilt,0.8544114807633326
dmelanogaster,pfalciparum,Tilt,0.2262518313921552
dmelanogaster,scerevisiae,Tilt,0.3039023853899466
hsapiens,pfalciparum,Tilt,0.25465468503763955
hsapiens,scerevisiae,Tilt,0.26174675580856327
pfalciparum,scerevisiae,Tilt,-0.02286361468501102
